id,review,places
0,"It’s a great place to sit around and watch the sunset. It’s lively to see so many people around. You will find people jogging, friends chit chatting, families spending time together, children playing. Mumbai police keeps patrolling so is safe.",Marine Drive
1,"Marine Drive, a beachfront promenade, is a major recreational spot and tourist attraction in Mumbai.Marine Drive is a 3.6-kilometre-long Promenade along the Netaji Subhash Chandra Bose Road in South Mumbai in the city of Mumbai",Marine Drive
2,Mariane drive is famous for the necklace becoz it's so beautiful in night it appears to be like a necklace from the proper view.the place which never sleeps and best place to hangout ,Marine Drive
3,"Marine Drive is busy with vehicles and people. There is a nice wide promenade along the seafront, and often a nice sunset",Marine Drive
4,Watching sunset on marine drive is amazing. You can walk for a hour with beautiful sea view and feel great! Only missing part was absence of local vendors with amazing local food.,Marine Drive
5,Something for everyone through the year. Sundays are specially so. Runners preparing enthusiastically for Mumbai marathon. Children roller skating and bicycling. Whole families picknicking. Man on monocycle. Dogs chasing balls. Gentle winter breeze. If you can see the tall flag,Marine Drive
6,This place is truly the necklace of Mumbai with mesmerising beauty.. Especially in evening. Cool breeze and well maintained just make it a place to stay for as long as you want it.,Marine Drive
7,"This is good, long enough so that you find a place to sit. Worth visiting in evening so that you can sit, look at the sea and relax. Though It can be more cleaner.  ",Marine Drive
8,"Marine Drive popularly known as the Queens Necklace is a popular tourist attraction in the city of Mumbai and we had visited the same during our Christmas holidays. This place has a beautiful paved walkway by the sea with amazing views of the sea, blue sky and skyscrapers at a",Marine Drive
9,A best place to unwind and relax. spectacular during nights as it is called as queens necklace. The best way to enjoy is by walk as much as you can.,Marine Drive
10,"Marine drive is in a true sense Queen's necklace, a place where you can form memories. It doesn't have a beach access but staying in the promenade and listening the soothing sea sound makes you peaceful and happy. You can sit relax talk discuss walk meditate, do cycling and lot",Marine Drive
11,Make sure that someone else is driving. You won't want to miss the stunning views of the bay and the city. Or you can leave your vehicle behind and enjoy a leisurely jog or a stroll along the broad sidewalk.,Marine Drive
12,"Mumbai's marine drive, the iconic marine drive. Seen in the backdrop of multiple movies, this walkway is a must visit for anyone visiting Mumbai.",Marine Drive
13,"If you want to sit and relax, enjoy the sea and breeze, then Marine Drive is the best place. The sunset from here is amazing.",Marine Drive
14,Perfect place for Morning Joggers and Evening Walkers.  Beautiful sea overlooks. Very clean and located near to Business hub like Nariman Point and Colaba.,Marine Drive
15,"Walking on the shores of the sea in marine drive is the best thing one could do to kill time in Mumbai. It is a place for photo loving people, here one could easily spend time clicking photos with the setting sun and the sea .  ",Marine Drive
16,Nice street along the shore to walk and catch the sun as well as the energy of Mumbai as many people walking along the shore.,Marine Drive
17,at 2 am. I show for the first time Marine Drive and it is absolutely amazing enjoyed the place found very relax.,Marine Drive
18,The place is a beautiful site for travelers as it runs along the shore of the Arabian sea. This is of maximum beauty at night as the street light give it a shape of a shimmering necklace. ,Marine Drive
19,"There must be a reason for this to be called a jewel of mumbai. The first visit of mine, a I am in love with it. Really calm and beautiful just to relax and sit here and ponder upon the beautifull scenery of Mumbai . ",Marine Drive
20,"Walking on the shores of the sea in marine drive is the best thing one could do to kill time in Mumbai. It is a place for photo loving people, here one could easily spend time clicking photos with the setting sun and the sea .  ",Marine Drive
21,Nice street along the shore to walk and catch the sun as well as the energy of Mumbai as many people walking along the shore.,Marine Drive
22,at 2 am. I show for the first time Marine Drive and it is absolutely amazing enjoyed the place found very relax.,Marine Drive
23,The place is a beautiful site for travelers as it runs along the shore of the Arabian sea. This is of maximum beauty at night as the street light give it a shape of a shimmering necklace. ,Marine Drive
24,"There must be a reason for this to be called a jewel of mumbai. The first visit of mine, a I am in love with it. Really calm and beautiful just to relax and sit here and ponder upon the beautifull scenery of Mumbai . ",Marine Drive
25,"On 22nd Sep'19, a fine Sunday evening, myself with my hubby visited Marine Drive - glamour & glitter of the city. Marine Drive is actually 3.6 km long, arc-shaped boulevard along the South Mumbai coast that starts at the southern end of Nariman Point and ends at Girgaum",Marine Drive
26,"Beautiful especially at night. Many families and couples come to sit on the wall along the water. Spectacular hotels, boutiques, etc.",Marine Drive
27,We probably didn't go to the best area of the marine drive.  The area we went to though had some nice views at night smelled and had lots of mosquitos so wasn't able to enjoy.,Marine Drive
28,"I guess this is a place you need to visit at night. Unfortunately we only drove along the length of it during the day so I can only say 'been there, done that'",Marine Drive
29,"We were strolling around this place, and then sat at the sitting area. A colllege group came and asked us for a small chipping/ shoot for shunning the patriarchal mindset that boys don't cry. we enjoyed the shoot, this was a kinda different experience. Last year we saw a dance",Marine Drive
30,"Marine drive is the crowning glory of our city. Lined with Art Deco buildings overlooking the Arabian Sea, it is one of the top attractions in mumbai. Love to sit by the promenade and watch the beautiful sunsets as the world goes by.",Marine Drive
31,Queens necklace 💓 Amazing place to have a walk with your friends or family members. The place is beautiful and nothing else compares with this place.,Marine Drive
32,Seen on my tour with Magical Mumbai Tours. An amazing way to see the skyline - incredible panoramic views. Wish I could go back around sunset. ,Marine Drive
33,"Marine drive (MD)one of famous tourist spots in Mumbai, I often visit it. I was staying near Marine drive for 12 years when daily I use to take morning walk along Marine drive. Specially evening time many mumbaikars and tourists visit Marine drive for  walk with pleasant breeze.",Marine Drive
34,This is one of the famous places in Mumbai. It has a beautiful never ending sea view. It has a very long stretch of pathway surrounding the Arabian Sea which resembles like a Queen 's necklace.Night time is a best time to see it.we walk thereand visited many places near marine,Marine Drive
35,We done this walk at sunset and it was excellent.  The sun set is brilliant and it’s a very nice walk with the Mumbai sky line in view.  Would recommend doing this if you are in Mumbai. But start north and work down south for the best views of the sunset ,Marine Drive
36,Fantastic Drive and beutiful experience of watching sea and tides. You can enjoy walk on Marine drive ,Marine Drive
37,it is best place to go for fresh wind and nice walk. i went with my family we all enjoyed. beautiful beach,Marine Drive
38,This place is amazing in evening and night.  Good for friends and family.  Few good restaurants nearby.  Can gonalone for peace of mind.  ,Marine Drive
39,"Best please to be highly recommend this place , relaxing peaceful for tourist have a look & go explore",Marine Drive
40,It is simply awesome. The best place in Mumbai to hangout. Cool breeze blowing and awesome atmosphere around makes it even more special. A must visit place when in Mumbai.,Marine Drive
41,During my stay at mumbai this was the most refreshing moments walking on the marine drive the city looks so beautiful from here and rising waves simply hits the mind.. it was superb,Marine Drive
42,"I was incapacitated and sitting in my room in the Intercontinental hotel and I had a great view of the bay.  Not a moment passed when there was something to watch, a constant procession of colourful families and young people walking up and down, especially at weekends and",Marine Drive
43,"If you are in Mumbai, you must visit this place. A great place to be at in the evening. You can go for a walk, sit and watch sunset, relax and listen to music... whatever. You won't be disappointed.",Marine Drive
44,"I was told that the view at night when it lit up like a necklace is amazing, but as I could only visit during the day I was disappointed.  The sky was heave and gray from pollution. Impossible to take a photo.",Marine Drive
45,If you are in Mumbai don’t forget to visit here . It’s a beautiful place in Mumbai . I visited here with my kids . I visited here at night time and it was looking very very beautiful . We felt relaxed and happy after visiting here.,Marine Drive
46,One gets fantastic views of the surroundings of South Mumbai when one drives over Marine Drive. It is a historical place. Certainly would very highly recommend experiencing a drive over Marine Drive to anyone when in Mumbai. ,Marine Drive
47,"when we visited chowpatty beach we walked a bit of marine drive, If im honest it was a bit boring, i thought things would be happening in the area but it really is just a long walk in a nice area, nothing special at all.",Marine Drive
48,One of the best routes to drive on in Mumbai. Great for walking & jogging in the early hours. Not very crowded . Offers the view to the sea and you can see the skyline of the Malabar hill's well as the Nariman point. You pass by the Taroporewala Aquarium.,Marine Drive
49,My one of the most favourite place marines . It started with my 11th std and it is stilll going on. No replacement found. A place to sit and watch sunset. Listen song and walk. noticing each and every person by giving smile☺️. ,Marine Drive
0,Buy excursions in advance to avoid the street vendors. A historic site and must see if you are in the area. Don’t go out of your way to see. ,Gateway Of India
1,"It’s great, old and historical building, which has become icon of Mumbai over the time. Place is crowded. You can get ferries from here, you can also choose to go floating restaurant from here. If you want a luxurious boat ride book speedboat from Uber boats.",Gateway Of India
2,"Nice place to visit at anytime of the day.Too much crowd still with the visit.Many local tourists and foreign tourists too.The famous TAJ MAHAL PALACE HOTEL facing this. British build this many centuries before,,still perfect,have ferry tidings near buy,,its nice to walk round",Gateway Of India
3,This is a beautiful place in mumbai where most locals and tourists visit. You can see many foreigners also visiting.,Gateway Of India
4,"Coupled with the Taj Palace hotel, this is an extremely busy and lively place and the starting point for a trip to the Elephanta Caves.",Gateway Of India
5,"A very popular tourist attraction, the gateway located in Colaba, mumbai built to commerate the arrival of the British emperor in 1912. Absolutely gorgeous and a piece of art. It also is significant becoz the last British battalion left through these gates marking the end of",Gateway Of India
6,Well worth a visit to hear of the history. From a British point of view this is probably heightened but it has religious and architectural interest as well.,Gateway Of India
7,"It is one of the best place to visit if you are travelling in Mumbai. The infrastructure is very nice. Also, the locality is good enough. The voice of seashore, Nice scenes, views, and also very crowded place. It is an awesome place where people can spend some time with your",Gateway Of India
8,Great last stop on our trip and very busy  but well worth the hassle. Very historical and definitely worth the effort.,Gateway Of India
9,I have seen this place 15 years ago.  Now with family visiting again. Earlier there was no fencing now it's there.  The place is great to see the Arabian sea and facing the Iconic Taj Mahal hotel.  Photographers take Rs.30 per picture but they take multiple pictures in various,Gateway Of India
10,"If you're in Mumbai, a must visit.  It is a busy spot as there are many charter and commercial boats leaving from next to the Gateway.   Not much to do there really other than to walk around the Gateway, get a glimpse of the Taj Hotel. However if you wish to visit the Elephanta",Gateway Of India
11,"this gateway is to be considered a symbor of british occupation in India,it's on waterfront and i suggest to go to see it,it s not a masterpiece but nice to see",Gateway Of India
12,You do feel transported back in time when you go there and take in all its surroundings. Lots of history on every corner of the road. ,Gateway Of India
13,"It's an extremely busy place. Nice to visit but nothing that spectacular. It's nice to experience so many local tourist, who come to enjoy their commercial capital, the water & the Mumbai buzz.",Gateway Of India
14,"We went to the Gateway of India in December. It was extremely busy, both local and foreign tourist stood in queues to enter the area. Men on the one side and women on the other. Once in we could walk freely and explore this landmark.   No entry fee.  Definitely a must see when",Gateway Of India
15,This is an important landmark of he country. Beautiful feeling on the seashore. Vast ocean and had a boat ride . Clean place.,Gateway Of India
16,"Building is nice ss a landmark - some history to it as well. But not much to do there, other than using it as a gateway. To elephanta island actually.",Gateway Of India
17,The gate looks very strong and stand there for long time. Colonial building looks and always ready to welcome every visitors to Mumbai,Gateway Of India
18,"It was very busy reaching the Gateway, lots of traffic on the roads and on foot. Lots of people trying to persuade you to let them take photos of you - we just took our own photos.  Not much to do here other than take a photo of an iconic Indian image.  ",Gateway Of India
19,A Heritage site that dates back to the time before India's Independence. you can capture the site of the Iconic Taj Mahal Hotel on one side and the magnificent sea view of the other with ferry boat ready of pick you up and take you to the Island known as Alibag. Excellent place,Gateway Of India
20,"Gateway of India has a beautiful location, right in front of the sea. It is one of most wonder full attraction in Mumbai.Its located right next to the magnificent Taj hotel",Gateway Of India
21,The areas around the gateway of India offered some amazing picture spots. Just keeping in mind the crowds can be huge. ,Gateway Of India
22,"We went there on the 15th of August the day of Independence, it was very crowded hence we had a very short stay there. Good place to take photos and selfies.",Gateway Of India
23,"One hour Bon Voyage to Elephanta Caves from Gateway of India is wao! experience. Its said that ""One  hasn't seen Mumbai if he has not seen Elephanta Caves"".....a must visit Tourist destination....",Gateway Of India
24,Iconic place but too crowded. Avoid going during weekends.  For first timers the boat ride can be tried out.,Gateway Of India
25,"Gateway of India has a beautiful location, right in front of the sea. It is one of most wonder full attraction in Mumbai.Its located right next to the magnificent Taj hotel",Gateway Of India
26,The areas around the gateway of India offered some amazing picture spots. Just keeping in mind the crowds can be huge. ,Gateway Of India
27,"We went there on the 15th of August the day of Independence, it was very crowded hence we had a very short stay there. Good place to take photos and selfies.",Gateway Of India
28,"One hour Bon Voyage to Elephanta Caves from Gateway of India is wao! experience. Its said that ""One  hasn't seen Mumbai if he has not seen Elephanta Caves"".....a must visit Tourist destination....",Gateway Of India
29,Iconic place but too crowded. Avoid going during weekends.  For first timers the boat ride can be tried out.,Gateway Of India
30,Walked up here on New Year’s Day. Nice atmosphere with lots of families enjoying the holiday. You can get a boat trip from here to Elephant Island as well as walk around the area. Probably best to go before lunch as it gets really busy. Work a visit if in the area.,Gateway Of India
31,"The gateway is also a gathering spot for locals, street vendors, and photographers soliciting servicesthe monument is synonymous with the city of Mumbai, and is amongst its prime tourist attractionsThere are five jetties located at the gateway, of which two are used for",Gateway Of India
32,"Coming from the nearby Taj Mahal Palace Hotel, this is so different.  Thousands of taxis, cars and buses to negotiate to get in the entry gate to this national monument. When inside the confines then you have to negotiate the hundreds of photographers who want to take your",Gateway Of India
33,A crowded place. Its a historical place. For tourist its a must place to visit. Hotel Taj is also alongside. ,Gateway Of India
34,Good place to visit and watch locals and tourist walking around. Extremely busy especially on weekends.,Gateway Of India
35,One of the most visited sites in Mumbai several restrictions were imposed after the Mumbai blasts. The place gets too crowded during the day and in the evenings which spoils the atmosphere. You will have street vendors and photographers harassing you . The place gets dirty with,Gateway Of India
36,Very old structure but standing well. It is imposing to people arriving by boat. It has very choppy waters. the Taj hotel is nearby and there are literally hundreds of visitors walking around taking in the scenery. ,Gateway Of India
37,"We loved this spot. It is wonderful to see the number of locals who also consider this a “must see”. A real treasure for Mumbai and a true tourist attraction.  If you’ve seen the Indian movie, The Photograph” it’s even more interesting!  Don’t miss it.",Gateway Of India
38,"It was crowded like hell, not properly managed on Christmas day. I could not find it clean, safe enough for family with kids and senior citizens. There is nothing much available to eat which you think is clean. All hawkers are selling things in papers and cups. Good restraints",Gateway Of India
39,It's a very best place in Mumbai Near the sea  You can see very big Gate  It's a famous place you have to visit in Mumbai,Gateway Of India
40,"Love the Gateway of India, beautiful piece of architecture. Only point would be to go really early in the morning if you want photos, it get VERY VERY crowded  ",Gateway Of India
41,It was good architectura...ıt has good story.you can vısıt easly..near coloba..can walk from colaba.take pictures..you can see tac mahal hotel from gateway india too.,Gateway Of India
42,"Enjoyed visiting the historic place and of course one of the important places to see in Mumbai! You will see the people from different parts of  Maharashtra and India, as well as from other countries. Must visit!!",Gateway Of India
43,"It gives me goosebumps and reminds me of strength, courage and determination. It reminds me not of 26/11 but of how the city bounced back soon after. This city is amazing and the gateway symbolises everything it stands for. Must visit ",Gateway Of India
44,"Built in 1911 to welcome King George V, this stolid monument provides a fitting frame for selfies and other photos. It also serves as a helpful landmark for locating the docks, immediately behind, for the tour boats to the Elephanta Caves.",Gateway Of India
45,A prime tourist spot situated in colaba of mumbai and buses are readily available from here to Chatrapathi Shivaji Maharaj Terminus Railway Station(CST) bus stop and vice versa.The bus number 111 mainly connect cst to gateway of india.Boating is available from here and two,Gateway Of India
46,"Built by the British, for the British who came/went by sea. Now anyone can pass thru the arches.Best viewed from the water. Very crowded when I was there.",Gateway Of India
47,"Worth the trip out to the city to see this enormous structure! Lots of photographers nearby too, we got our photo at 30 rupees per picture and they print it out immediately for you. Thoroughly enjoyed seeing this, try to go end of the day as the sunset light makes for a",Gateway Of India
48,"Built to Welcome King and Queen of England in the Year 1911,this is one of the Tourist Attractions in Mumbai. An imposing structure worth admiring. Always full of people and Life,you can visit anytime.Beware of Scamsters.You get ferries here to Elephenta and other places.",Gateway Of India
49,"When in Mumbai, this is one of the landmarks that's good to see. Lots of people and tourists so beware of scammers.",Gateway Of India
50,"Worth doing, the traffic can be horrendous, but we enjoyed it as there was so much life going on around us.",Gateway Of India
51,"Gateway of India is landmark of the City. Very well maintained property, main tourist attraction of the city. You can get ferries for famous Elephenta caves on day time.",Gateway Of India
52,"A sight that you must see when in Mumbai, but very crowded when we were there, on a Sunday.  Probably best viewed from a boat!",Gateway Of India
53,Sunday. Super busy day with Mmbaikars and tourists flocking  the place.  The security queue for entry seems bizarre ,Gateway Of India
54,"Usually crowded, however if you can afford, have breakfast in harbour bar at Taj palace. Lovely view and no crowd",Gateway Of India
55,This place famous for Gateway India near Arabian sea.which reminds of Poms era in India. Tajmahal Hotel near by which was attacked by terrorists. This place is situated in Indias financial capital at Mumbai. It's basically in office area. The place can be assessed by minimum,Gateway Of India
56,Very crowded place but a must visit monument. Can click a few memory pics by it. And enjoy the breeze ..,Gateway Of India
57,Should  take Elephants cave  tour  when at Gateway  will take 2 hours . The boat ride booking can be done at Gateway,Gateway Of India
58,"This is one of those iconic sites you need to see when visiting a city for the first time. It was crowded, it was noisy, it was irritating, had a photo taken with a million locals (6ft+ white dudes tend to attract attention) but I loved it.   A must visit when going to Mumbai.",Gateway Of India
59,If you been to India you should visit this place practically their not much but once visit is valuable you can click picture and you can do boat ride that's my favorite specially evening it looks beautiful you can eat chill and enjoy beauty of this place,Gateway Of India
0,"Nariman Point is the place of energy station of Mumbai.It resembles Necklace of Wonderful City Mumbai and also of Maharashtra state.Walking experiencing showers of Arabian Sea ,observing sea in different moods in backdrop of Skyscrapers is exclusive experience.U can see many",Nariman Point
1,The nariman point is very famous and inpeoranlly like it.tiu can enjoy the view from the shore just sit and enjoy the view ,Nariman Point
2,"A great walk down “down The shore” to reach the last meters is an enjoyable time. Pass Hotels TRIDENT and OBEROI, go and touch the Arabian Sea. It is worth the walk!",Nariman Point
3,An extremely clean place with a superb view of the sea in Mumbai. You really can have a relaxed walk and enjoy a large variety of street food and snacks which are tasty and delicious. Even five star hotels are having many restorants as an option. Had a great time and experience.,Nariman Point
4,"Absolutely love this area thr walk, the promenade, the soothing waves and the always buzzing marine drive awesome sunsets.. a must go for Mumbai darshan",Nariman Point
5,"Towards the end of Mumbai, this is a place where you can go and relax by just seeing the waters splashing to the shore. You can enjoy the Mumbai special snacks while you are watching the sea and feel the fresh and healthy breeze on your face.  Never the less beware of pick",Nariman Point
6,"nariman point is a southern end chowpatty is a northen end of QUEENS NECKLACE VIEW...one of the best view to be seen from Kamala Nehru Park which is next to the beach.or those who are into scenery, Nariman Point is definitely worth a stop",Nariman Point
7,Nice evening place for walk and de-stress yourself . THere is ample space for parking at Nariman point. good roadside snacks and beverages available. ,Nariman Point
8,So beautiful place. Its seashore nd nice atmosphere. We can see sunset clearly here. Airflow so good n healthy. Fresh air.enjoying here,Nariman Point
9,Nice to have during sight seeing in Mumbai. Beatiful view to the Indian ocean. Great for Joggers. Beatiful sun set in the evening.,Nariman Point
10,"Located at the dead south end of Mumbai, one of the busiest and best places with commercial and residential premises. Different aura and feeling altogether. Do visit this area if you visiting Mumbai.",Nariman Point
11,Its a good place to just sit and relax watching the waves. You can walk on the promenade which is the best in mumbai. It can be accessed easily by train. Get off at churchgate station and then walk west for 5-10 mins to reach the promenade. well maintained,Nariman Point
12,Away from the crowded and noisy streets of the city this is a great place to stroll or simply enjoy the calm of the water and the bay.,Nariman Point
13,My office is located very near to Nariman Point. But ht ebest time to visit here is at night. The breeze is cool and it is very relaxing.,Nariman Point
14,Nariman Point is located near by Churchgate and it is surrounded with lots of Commercial Towers and attached with a nice Beach.,Nariman Point
15,"Located at the dead south end of Mumbai, one of the busiest and best places with commercial and residential premises. Different aura and feeling altogether. Do visit this area if you visiting Mumbai.",Nariman Point
16,Its a good place to just sit and relax watching the waves. You can walk on the promenade which is the best in mumbai. It can be accessed easily by train. Get off at churchgate station and then walk west for 5-10 mins to reach the promenade. well maintained,Nariman Point
17,Away from the crowded and noisy streets of the city this is a great place to stroll or simply enjoy the calm of the water and the bay.,Nariman Point
18,My office is located very near to Nariman Point. But ht ebest time to visit here is at night. The breeze is cool and it is very relaxing.,Nariman Point
19,Nariman Point is located near by Churchgate and it is surrounded with lots of Commercial Towers and attached with a nice Beach.,Nariman Point
20,Reach around sunset - start walking from any point from Chowpaty to Nariman Point enjoying evening breeze coming from sea side have some tea/coffee or cold drinks or even snacks like bhel/kurmura etc while enjoying beautiful sun set. There are also many restaurants around this,Nariman Point
21,"Nariman Point is Mumbai’s business district, with high-rise offices and upscale hotels, popular for sunset drinks at sea-facing bars. It’s home to the National Centre for the Performing Arts, hosting experimental theater and international music acts, displaying modern visual",Nariman Point
22,"The place has energy - Marine Drive, superb views of the sea & the lights in the distance, the sheer energy of people on the sidewalk - nice!",Nariman Point
23,"Walked along the marine drive after a few months - it is always cool and exhilarating in the mornings with a superb view of the bay.  The night-time view is worth trying, especially from the hanging gardens. ",Nariman Point
24,This is located on southern tip of Mumbai. High rise building was looking very attractive. Many people came here at evening time for time spent.,Nariman Point
25,The weather was nice and the company was good so drive had to be beautiful. wish had more time on hands to explore more.,Nariman Point
26,"An iconic place to visit. The Marine Drive is an identity of Mumbai to visit. Full of energy. Conveys the spirit of Mumbai to you, any time of the day. ",Nariman Point
27,Place where we u get sit and relax. Forget all your stress. Basically its marine line. Cool air and peaceful environment,Nariman Point
28,"Nariman Point used to be the elite business district of Mumbai, before Bandra- Kurla Complex ( BKC) came into existence. Even now, there are many offices here, though the big names have shifted to BKC side . The sea view is amazing,Marine Drive is a popular place for morning and",Nariman Point
29,It's nice to visit this place. Vast sea view fresh air and excellent walking track. Marine drive is one of he to go places in Mumbai,Nariman Point
30,It's a very long walk way located at the end of Mumbai town.  Lots of people around jogging and exercising.  Best place for a walk any time of the day. Well guarded by police at all hours and there are some eateries at every turn.  Best time I have visited was early morning,Nariman Point
31,"Nariman point is basically in South Mumbai,most of these area are near by.I have been there few times.But I am not very aware of that area.",Nariman Point
32,This place is the true essence of Mumbai. I never miss an opportunity to go to Nariman Point. You have beautiful high rise structures and fast cars on one side and the vast sea on the other. You can sit here for hours and never go bored. It may be out of bounds during the,Nariman Point
33,"Nariman point is a location known to be for offices of most of the companies. The various towers here has offices of all types of companies viz, banks, insurance, shipping , MNCs etc etc. It also has residential areas but is more famous for offices. Local eating joints on the",Nariman Point
34,"Quality time to spend . Good breeze , very scenic view , good foot massage , highly relaxing and soothing effect . Great feel. ",Nariman Point
35,Very picturesque site. Lots of colour and vibrance. Clean and well maintained. Worth a visit for a walk.,Nariman Point
36,Nariman point is the place which is at the end of marine drive. A lot of people go here for hang out. It is opposite trident hotel and is a sea face.,Nariman Point
37,Love the views here.. Can sit by the rocks and keep looking at the sea forever.. So calming.. Great for a walk/run too,Nariman Point
38,A very great place to see sunset in Mumbai as it is very near to sea and also very nicely maintained.,Nariman Point
39,"Nariman point is the end point of Marine drive located in Churchgate, Mumbai. People usually walk, run or do yoga here in morning and at night people spend some time here in open air and with voice of the ocean.",Nariman Point
